team_name,car_engine,no_of_drivers,highest_laps,total_laps,points,raceid,year,round,name,date,total_matches_win,grid,positionorder,laps,milliseconds,pitstop,status,team_no_of_wins
McLaren,McLaren,2,58,97845,10,18,2008,1,Australian Grand Prix,16-03-2008,105,1,1,58,5690616,0,Finished,185
BMW Sauber,BMW Sauber,2,58,7938,8,18,2008,1,Australian Grand Prix,16-03-2008,0,5,2,58,5696094,0,Finished,1
Williams,Williams,2,58,85881,6,18,2008,1,Australian Grand Prix,16-03-2008,23,7,3,58,5698779,0,Finished,114
Renault,Renault,2,58,38339,5,18,2008,1,Australian Grand Prix,16-03-2008,32,11,4,58,5707797,0,Finished,35
McLaren,McLaren,2,58,97845,4,18,2008,1,Australian Grand Prix,16-03-2008,1,3,5,58,5708630,0,Finished,185
Williams,Williams,2,58,85881,3,18,2008,1,Australian Grand Prix,16-03-2008,0,13,6,57,,0,+1 Lap,114
Toro Rosso,Toro Rosso,2,58,26973,2,18,2008,1,Australian Grand Prix,16-03-2008,0,17,7,55,,0,Engine,1
Ferrari,Ferrari,2,58,126025,1,18,2008,1,Australian Grand Prix,16-03-2008,21,15,8,53,,0,Engine,249
BMW Sauber,BMW Sauber,2,58,7938,0,18,2008,1,Australian Grand Prix,16-03-2008,1,2,9,47,,0,Collision,1
Toyota,Toyota,2,58,14363,0,18,2008,1,Australian Grand Prix,16-03-2008,0,18,10,43,,0,Accident,0
Super Aguri,Super Aguri,2,58,3569,0,18,2008,1,Australian Grand Prix,16-03-2008,0,19,11,32,,0,Transmission,0
Renault,Renault,2,58,38339,0,18,2008,1,Australian Grand Prix,16-03-2008,0,20,12,30,,0,Clutch,35
Ferrari,Ferrari,2,58,126025,0,18,2008,1,Australian Grand Prix,16-03-2008,11,4,13,29,,0,Engine,249
Red Bull,Red Bull,2,58,42076,0,18,2008,1,Australian Grand Prix,16-03-2008,13,8,14,25,,0,Collision,122
Toyota,Toyota,2,58,14363,0,18,2008,1,Australian Grand Prix,16-03-2008,1,6,15,19,,0,Electrical,0
Force India,Force India,2,58,22035,0,18,2008,1,Australian Grand Prix,16-03-2008,0,22,16,8,,0,Hydraulics,0
Red Bull,Red Bull,2,58,42076,0,18,2008,1,Australian Grand Prix,16-03-2008,9,14,17,0,,0,Collision,122
Honda,Honda,2,58,7681,0,18,2008,1,Australian Grand Prix,16-03-2008,15,12,18,0,,0,Collision,3
Super Aguri,Super Aguri,2,58,3569,0,18,2008,1,Australian Grand Prix,16-03-2008,0,21,19,0,,0,Collision,0
Toro Rosso,Toro Rosso,2,58,26973,0,18,2008,1,Australian Grand Prix,16-03-2008,53,9,20,0,,0,Collision,1
Force India,Force India,2,58,22035,0,18,2008,1,Australian Grand Prix,16-03-2008,3,16,21,0,,0,Collision,0
Honda,Honda,2,58,7681,0,18,2008,1,Australian Grand Prix,16-03-2008,11,10,22,58,,0,Disqualified,3
Ferrari,Ferrari,2,56,126025,10,19,2008,2,Malaysian Grand Prix,23-03-2008,21,2,1,56,5478555,0,Finished,249
